epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9208,1.6209,2.31999,1.43484,0.45882,0.45951,0.38804,0.18317,1.7542,2.14885,1.53627,0.000663024,0.000663024,0.000663024
2,37.0896,1.58812,1.71773,1.40316,0.44229,0.45155,0.37521,0.18639,1.81363,1.88844,1.61253,0.00130336,0.00130336,0.00130336
3,53.0544,1.60472,1.56087,1.42271,0.52492,0.40542,0.41142,0.20968,1.82067,2.05166,1.59135,0.0019173,0.0019173,0.0019173
4,68.8302,1.57447,1.45657,1.41566,0.54877,0.46835,0.45496,0.23132,1.75249,1.92879,1.51537,0.0018812,0.0018812,0.0018812
5,84.3807,1.51057,1.36095,1.3672,0.63531,0.4794,0.51769,0.28137,1.67995,1.59723,1.47503,0.0018416,0.0018416,0.0018416
6,99.8346,1.49054,1.31998,1.36127,0.63159,0.48902,0.52405,0.29135,1.61886,1.52465,1.41582,0.001802,0.001802,0.001802
7,115.415,1.45867,1.24177,1.34162,0.66247,0.4916,0.51196,0.28152,1.62618,1.57185,1.46539,0.0017624,0.0017624,0.0017624
8,131.042,1.43536,1.21468,1.32625,0.71652,0.51938,0.57189,0.32664,1.59449,1.40185,1.40384,0.0017228,0.0017228,0.0017228
9,146.557,1.41686,1.18662,1.30789,0.72877,0.52972,0.59319,0.34094,1.569,1.38464,1.3809,0.0016832,0.0016832,0.0016832
10,162.029,1.39644,1.13857,1.30739,0.69479,0.54522,0.58379,0.33404,1.53623,1.48361,1.39058,0.0016436,0.0016436,0.0016436
11,177.495,1.37359,1.10899,1.29005,0.70729,0.56008,0.59381,0.35271,1.5207,1.28492,1.39458,0.001604,0.001604,0.001604
12,193.201,1.36259,1.10347,1.27911,0.69536,0.54557,0.58175,0.34397,1.50324,1.3258,1.3482,0.0015644,0.0015644,0.0015644
13,208.847,1.34097,1.05751,1.27161,0.73334,0.54361,0.60401,0.36081,1.51902,1.28632,1.34894,0.0015248,0.0015248,0.0015248
14,224.565,1.32754,1.04292,1.25813,0.72414,0.54433,0.60459,0.35829,1.51785,1.30325,1.32808,0.0014852,0.0014852,0.0014852
15,240.207,1.32622,1.03472,1.25623,0.73729,0.54457,0.60753,0.36092,1.49188,1.29616,1.33123,0.0014456,0.0014456,0.0014456
16,255.567,1.31661,1.02226,1.25964,0.73882,0.54457,0.62012,0.36976,1.47927,1.27013,1.33025,0.001406,0.001406,0.001406
17,270.966,1.30236,0.99188,1.24513,0.74405,0.56149,0.62832,0.3775,1.4826,1.23573,1.33658,0.0013664,0.0013664,0.0013664
