epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9516,1.68015,2.04266,1.44682,0.50963,0.44638,0.43277,0.22101,1.71075,1.84216,1.41125,0.00066453,0.00066453,0.00066453
2,86.4273,1.66411,1.66866,1.44087,0.52914,0.54457,0.48761,0.25729,1.58172,2.16356,1.41618,0.00128727,0.00128727,0.00128727
3,127.229,1.64147,1.5636,1.43118,0.58889,0.50517,0.48845,0.25482,1.6473,1.68225,1.4391,0.001866,0.001866,0.001866
4,167.767,1.61532,1.51198,1.42931,0.67592,0.54005,0.59377,0.33203,1.5333,1.41059,1.39915,0.001802,0.001802,0.001802
5,208.782,1.55452,1.41962,1.38938,0.66162,0.48249,0.53221,0.30142,1.58654,1.5109,1.40502,0.001736,0.001736,0.001736
6,249.521,1.52696,1.38984,1.37611,0.72874,0.5646,0.62834,0.35897,1.50017,1.29164,1.34325,0.00167,0.00167,0.00167
7,290.191,1.49038,1.33726,1.35373,0.71353,0.56977,0.62488,0.36435,1.471,1.2948,1.33317,0.001604,0.001604,0.001604
8,331.239,1.46556,1.30149,1.33652,0.70048,0.58075,0.63327,0.37638,1.44101,1.39089,1.31606,0.001538,0.001538,0.001538
9,371.916,1.46041,1.2722,1.32763,0.71556,0.58016,0.64749,0.38348,1.45054,1.21962,1.30256,0.001472,0.001472,0.001472
10,412.47,1.43166,1.23888,1.32088,0.71195,0.60033,0.64965,0.39083,1.42513,1.23974,1.30503,0.001406,0.001406,0.001406
11,453.284,1.42883,1.2248,1.31338,0.71695,0.60207,0.66114,0.40318,1.37338,1.16588,1.28484,0.00134,0.00134,0.00134
12,493.697,1.40625,1.19414,1.30222,0.75148,0.58656,0.65875,0.40265,1.37264,1.20142,1.27825,0.001274,0.001274,0.001274
13,534.208,1.38493,1.16087,1.29116,0.72209,0.62597,0.68137,0.41707,1.38469,1.16966,1.26354,0.001208,0.001208,0.001208
14,574.648,1.37627,1.1454,1.28303,0.75166,0.62374,0.68642,0.42443,1.36906,1.10795,1.25589,0.001142,0.001142,0.001142
15,615.464,1.36102,1.12233,1.26489,0.74639,0.61951,0.68405,0.43029,1.32366,1.14579,1.2519,0.001076,0.001076,0.001076
16,656.341,1.35271,1.11421,1.26082,0.75574,0.64276,0.69623,0.43114,1.33666,1.09779,1.23926,0.00101,0.00101,0.00101
17,697.407,1.34288,1.09633,1.25712,0.76983,0.62855,0.69785,0.43409,1.33149,1.08524,1.24346,0.000944,0.000944,0.000944
18,738.361,1.32771,1.07494,1.24599,0.75544,0.61757,0.68816,0.42915,1.33714,1.09152,1.23601,0.000878,0.000878,0.000878
19,779.659,1.31193,1.05728,1.24172,0.79048,0.62726,0.69539,0.43005,1.3378,1.08782,1.24151,0.000812,0.000812,0.000812
20,820.455,1.30581,1.03954,1.23365,0.7535,0.64341,0.69046,0.42977,1.32159,1.09389,1.24124,0.000746,0.000746,0.000746
21,888.87,1.20594,0.93812,1.18224,0.76287,0.63501,0.70446,0.43998,1.29548,1.04609,1.23278,0.00068,0.00068,0.00068
22,928.94,1.19696,0.9102,1.17948,0.74516,0.64033,0.7023,0.44322,1.29926,1.04297,1.23567,0.000614,0.000614,0.000614
23,969.166,1.17577,0.87891,1.17209,0.75675,0.64913,0.70417,0.45167,1.29282,1.03542,1.22097,0.000548,0.000548,0.000548
24,1009.13,1.16178,0.85883,1.15322,0.77809,0.64329,0.7118,0.45,1.28602,1.03345,1.20903,0.000482,0.000482,0.000482
25,1050.97,1.14659,0.84062,1.14442,0.78543,0.64276,0.71584,0.45707,1.2811,1.01945,1.2151,0.000416,0.000416,0.000416
26,1090.89,1.1295,0.82083,1.13317,0.77285,0.65698,0.71275,0.44571,1.29486,1.02145,1.20907,0.00035,0.00035,0.00035
27,1131.06,1.12045,0.79006,1.1295,0.79402,0.64793,0.71957,0.45848,1.28767,0.99421,1.2164,0.000284,0.000284,0.000284
28,1171.13,1.10003,0.77352,1.11483,0.79505,0.65116,0.72083,0.46397,1.26762,0.98294,1.20162,0.000218,0.000218,0.000218
29,1211.3,1.08075,0.75887,1.10898,0.79371,0.65181,0.72059,0.45925,1.2809,0.99548,1.21261,0.000152,0.000152,0.000152
30,1251.02,1.0695,0.74169,1.09715,0.78111,0.65633,0.7193,0.45994,1.28144,0.98043,1.21119,8.6e-05,8.6e-05,8.6e-05
