epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9868,1.68015,2.04266,1.44682,0.50963,0.44638,0.43277,0.22101,1.71075,1.84216,1.41125,0.00066453,0.00066453,0.00066453
2,87.2573,1.66139,1.66758,1.43448,0.37527,0.52196,0.32859,0.16208,1.60721,2.52836,1.4506,0.00130484,0.00130484,0.00130484
3,128.2,1.64444,1.56025,1.43881,0.59896,0.53161,0.51316,0.27432,1.5837,1.72141,1.4101,0.00191875,0.00191875,0.00191875
4,168.676,1.60691,1.49911,1.42625,0.66843,0.54264,0.59653,0.33525,1.54796,1.42949,1.39202,0.0018812,0.0018812,0.0018812
5,209.327,1.55909,1.42833,1.39608,0.68915,0.53941,0.60004,0.34834,1.47718,1.54354,1.36655,0.0018416,0.0018416,0.0018416
6,249.434,1.53266,1.39389,1.38154,0.7384,0.55233,0.61959,0.35779,1.47503,1.32591,1.33564,0.001802,0.001802,0.001802
7,290.141,1.49552,1.34704,1.35913,0.71957,0.55862,0.60231,0.3415,1.46638,1.3677,1.34567,0.0017624,0.0017624,0.0017624
8,330.267,1.48516,1.31664,1.35183,0.69585,0.60336,0.62652,0.37286,1.44675,1.282,1.33395,0.0017228,0.0017228,0.0017228
9,370.699,1.472,1.28464,1.33509,0.68997,0.58915,0.64072,0.37961,1.45721,1.27312,1.33343,0.0016832,0.0016832,0.0016832
10,411.099,1.45009,1.259,1.33109,0.75249,0.59948,0.6688,0.40798,1.40776,1.22931,1.30596,0.0016436,0.0016436,0.0016436
11,451.317,1.43853,1.24304,1.32259,0.74953,0.60119,0.66814,0.40195,1.38374,1.17388,1.28929,0.001604,0.001604,0.001604
12,491.982,1.42573,1.21132,1.30992,0.73454,0.59345,0.65454,0.39793,1.38229,1.20324,1.28333,0.0015644,0.0015644,0.0015644
13,532.714,1.40202,1.18362,1.30275,0.74616,0.59755,0.67548,0.40895,1.39085,1.15407,1.28461,0.0015248,0.0015248,0.0015248
14,573.322,1.39884,1.17511,1.29654,0.74582,0.61305,0.67788,0.41185,1.39297,1.13578,1.28764,0.0014852,0.0014852,0.0014852
15,614.09,1.38647,1.15484,1.28156,0.73683,0.6137,0.68002,0.4142,1.37706,1.17022,1.27635,0.0014456,0.0014456,0.0014456
16,654.823,1.37912,1.1475,1.27594,0.75376,0.61111,0.67465,0.41481,1.36652,1.13099,1.27629,0.001406,0.001406,0.001406
17,695.486,1.37249,1.13778,1.27774,0.76075,0.61886,0.68498,0.42023,1.35661,1.14226,1.27159,0.0013664,0.0013664,0.0013664
